gameId,gameDuration,blueWins,totalDamageDealtToChampionsDiff,totalVisionScoreDiff,totalGoldEarnedDiff,totalMinionsKilledDiff,totalNeutralMinionsKilledTeamJungleDiff,totalNeutralMinionsKilledEnemyJungleDiff,totalVisionWardsBoughtInGameDiff,totalWardsPlacedDiff,totalWardsKilledDiff,averageChampLevelDiff,teamKDA_Diff,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
4244119029.0,924.0,True,2305.0,-10.0,6094.0,27.0,9.0,24.0,2.0,-6.0,4.0,1.0,2.533333333333333,fail,success,neutral,neutral,success,success,3.0,0.0,0.0,1.0,1.0
4244062713.0,1430.0,True,21817.0,74.0,16382.0,130.0,-3.0,13.0,3.0,8.0,12.0,1.5999999999999996,4.818181818181818,success,success,success,success,fail,success,11.0,3.0,1.0,-1.0,2.0
4243690024.0,1877.0,False,-10662.0,-80.0,-7555.0,-98.0,-52.0,-36.0,2.0,-12.0,-11.0,-1.4000000000000004,-0.26136363636363624,success,success,fail,fail,success,success,-2.0,-1.0,-1.0,1.0,2.0
4243471193.0,1844.0,False,-17118.0,-18.0,-7507.0,-43.0,24.0,12.0,3.0,-11.0,11.0,-2.0,-3.308998302207131,fail,success,success,fail,fail,fail,1.0,1.0,-2.0,1.0,0.0
4243147582.0,1524.0,False,-6634.0,-5.0,-9752.0,35.0,35.0,-12.0,4.0,3.0,0.0,-0.40000000000000036,-2.0413793103448272,fail,fail,fail,fail,fail,fail,-8.0,-1.0,-1.0,0.0,-2.0
4241992197.0,2796.0,False,-66446.0,58.0,-11650.0,-139.0,8.0,-14.0,2.0,35.0,-22.0,0.0,-1.769811320754717,fail,fail,fail,fail,fail,fail,-4.0,-2.0,-4.0,-2.0,0.0
4241761602.0,1836.0,False,-38132.0,-61.0,-12535.0,-114.0,21.0,-3.0,4.0,-18.0,7.0,-1.8000000000000007,-3.3576388888888893,fail,fail,fail,fail,fail,fail,-6.0,-1.0,-1.0,0.0,-2.0
4241443824.0,951.0,True,14648.0,34.0,12917.0,111.0,-16.0,25.0,5.0,-6.0,9.0,1.8000000000000007,4.333333333333333,success,success,neutral,neutral,success,success,6.0,0.0,0.0,2.0,1.0
4241018282.0,1930.0,False,-556.0,-75.0,-3664.0,148.0,8.0,-36.0,3.0,-9.0,-10.0,0.0,-0.6153846153846154,fail,fail,fail,fail,fail,fail,-9.0,-6.0,-2.0,-2.0,-2.0
4240736696.0,1887.0,True,18519.0,44.0,9404.0,-85.0,-9.0,20.0,5.0,6.0,6.0,1.4000000000000004,1.6477124183006533,fail,fail,success,success,success,success,7.0,2.0,1.0,2.0,2.0
4240545937.0,948.0,True,9320.0,-22.0,3512.0,74.0,-10.0,0.0,5.0,-10.0,1.0,0.40000000000000036,1.6,fail,success,neutral,neutral,fail,neutral,1.0,0.0,0.0,0.0,0.0
4229274627.0,1305.0,True,20414.0,3.0,13727.0,51.0,3.0,34.0,0.0,-12.0,1.0,1.4000000000000004,5.139784946236559,success,success,neutral,neutral,fail,success,6.0,0.0,0.0,1.0,2.0
4226968372.0,1813.0,False,-15189.0,-28.0,-14697.0,15.0,-11.0,-50.0,0.0,-1.0,-2.0,-1.4000000000000004,-3.944099378881988,success,fail,fail,fail,success,fail,-7.0,-1.0,-1.0,1.0,-2.0
4255666689.0,1789.0,True,26018.0,-18.0,9610.0,3.0,20.0,35.0,3.0,-4.0,2.0,1.0,3.875,success,success,success,fail,fail,success,7.0,1.0,-1.0,0.0,2.0
4236249211.0,2265.0,True,14110.0,0.0,8407.0,-101.0,63.0,56.0,11.0,1.0,-14.0,0.3999999999999986,1.79796511627907,success,success,success,success,success,success,5.0,4.0,0.0,5.0,2.0
4236330740.0,1524.0,False,-28013.0,-34.0,-10345.0,6.0,-15.0,-12.0,11.0,-8.0,-2.0,-1.3999999999999986,-3.728618421052632,fail,success,fail,fail,fail,fail,-4.0,-1.0,-1.0,-4.0,-2.0
4236078160.0,1329.0,False,-13420.0,-65.0,-12903.0,-67.0,22.0,-1.0,3.0,-5.0,-9.0,-2.1999999999999993,-7.122222222222223,fail,fail,fail,fail,success,success,-6.0,-1.0,-1.0,0.0,0.0
4235956003.0,1871.0,False,-21694.0,32.0,-4665.0,-48.0,8.0,19.0,0.0,30.0,-16.0,-0.5999999999999996,-2.107142857142857,success,fail,fail,success,fail,fail,-6.0,-1.0,1.0,-4.0,0.0
4220821000.0,951.0,False,-10925.0,6.0,-6673.0,-36.0,1.0,-17.0,1.0,3.0,0.0,-1.0,-3.6323529411764706,success,fail,neutral,neutral,success,fail,-3.0,0.0,0.0,0.0,-1.0
4220385851.0,927.0,True,14528.0,38.0,11458.0,45.0,0.0,34.0,3.0,-5.0,9.0,2.0,11.4,success,success,neutral,neutral,success,success,5.0,0.0,0.0,2.0,1.0
4213257682.0,1738.0,False,-6751.0,-30.0,-10793.0,-6.0,23.0,0.0,9.0,-3.0,-9.0,-1.4000000000000004,-3.314705882352941,fail,fail,fail,fail,fail,fail,-4.0,-1.0,-1.0,-3.0,-2.0
4213168296.0,1726.0,False,7194.0,-21.0,-9306.0,16.0,51.0,-7.0,9.0,0.0,-10.0,-1.0,-2.722488038277512,fail,fail,fail,fail,fail,fail,-6.0,-1.0,-1.0,-2.0,-2.0
4238141338.0,922.0,True,17233.0,12.0,17236.0,133.0,0.0,22.0,2.0,10.0,1.0,2.1999999999999993,35.8421052631579,success,success,neutral,neutral,fail,neutral,7.0,0.0,0.0,0.0,0.0
4231275151.0,1792.0,False,-31106.0,4.0,-8013.0,2.0,28.0,-14.0,13.0,-5.0,6.0,-1.0,-3.1911764705882355,success,success,fail,fail,success,success,-5.0,-2.0,-1.0,1.0,0.0
4229231881.0,1868.0,False,-16502.0,-16.0,-10415.0,59.0,16.0,-13.0,15.0,-17.0,0.0,-1.0,-3.68546365914787,fail,fail,fail,fail,fail,fail,-8.0,-2.0,-1.0,-4.0,-1.0
4210836515.0,1373.0,False,-18098.0,-16.0,-10333.0,-63.0,-14.0,-26.0,3.0,-8.0,4.0,-1.3999999999999986,-3.0936454849498323,fail,fail,fail,fail,success,success,-7.0,-1.0,-1.0,-1.0,0.0
